DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM
XX/06/21;05:14:06;DESCENT;AIR;AIR;AIR;4438;4456.00;1013.0;4200;2054;27.00;-31.559.753;-60.234.383;284;250;159;189.67;0.408;-1613;1.00;-0.01;-0.02;-23;-180.0;0;-2.5;52962;0;11.25;1.2;0.1;3.87;-3.38;35.0;35.8;74.2;74.5;561;573;IDLE;IDLE;16429.5;8252.57;8176.97;1319.7;1374.5;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.29;-0.23;-1233.00;-0.33;5.48
XX/06/21;05:14:07;DESCENT;AIR;AIR;AIR;4411;4430.00;1013.0;4173;2054;27.25;-31.549.072;-60.235.146;284;250;159;189.67;0.408;-1616;1.00;-0.01;-0.02;-22;-72.77;0;-2.6;52962;0;11.25;1.2;0.0;3.87;-3.34;35.0;35.8;76.1;74.5;561;573;IDLE;IDLE;16430.2;8252.94;8177.35;1325.8;1374.5;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.30;-4.05;0.23;-0.29;616.50;-0.33;5.48
XX/06/21;05:14:08;DESCENT;AIR;AIR;AIR;4385;4403.00;1013.0;4147;2054;27.25;-31.538.391;-60.236.061;284;250;159;189.67;0.408;-1607;1.00;-0.01;-0.02;-21;0.00;0;-2.7;52962;0;11.25;1.2;0.0;3.87;-3.39;35.0;35.8;73.7;74.5;561;573;IDLE;IDLE;16431.0;8253.30;8177.74;1319.7;1374.5;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-4.00;0.29;-0.29;-1233.00;-0.33;5.48
XX/06/21;05:14:09;DESCENT;AIR;AIR;AIR;4358;4376.00;1013.0;4120;2054;27.25;-31.527.710;-60.236.824;283;251;159;189.67;0.408;-1601;1.01;-0.01;-0.01;-21;-72.77;0;-2.8;52962;0;11.25;1.2;0.0;3.87;-3.39;35.0;35.8;76.1;74.5;561;573;IDLE;IDLE;16431.7;8253.67;8178.12;1325.8;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.29;-0.23;616.50;-0.33;5.48
XX/06/21;05:14:10;DESCENT;AIR;AIR;AIR;4331;4349.00;1013.0;4093;2054;27.50;-31.517.029;-60.237.587;283;251;159;189.67;0.408;-1608;1.01;-0.01;-0.01;-20;-180.0;0;-2.9;52962;0;11.25;1.2;0.0;4.04;-3.38;35.0;35.8;73.8;74.5;561;573;IDLE;IDLE;16432.5;8254.04;8178.50;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.75;0.29;-0.34;-1233.00;-0.33;5.45
XX/06/21;05:14:11;DESCENT;AIR;AIR;AIR;4306;4324.00;1013.0;4068;2054;27.50;-31.506.348;-60.238.350;283;251;159;189.67;0.408;-1592;1.03;-0.01;-0.01;-19;-72.77;0;-3.0;52962;0;11.25;1.4;0.2;4.22;-3.48;35.0;35.8;75.8;74.5;561;573;IDLE;IDLE;16433.3;8254.41;8178.89;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.64;-3.55;0.12;-0.46;-1233.00;-0.39;5.45
XX/06/21;05:14:12;DESCENT;AIR;AIR;AIR;4279;4298.00;1013.0;4041;2054;27.50;-31.494.904;-60.239.113;283;251;159;189.67;0.408;-1581;1.05;-0.01;-0.01;-18;0.00;0;-3.2;52962;0;11.25;1.6;0.1;4.39;-3.47;35.0;35.8;74.0;74.5;561;573;IDLE;IDLE;16434.0;8254.78;8179.27;1325.8;1374.5;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.69;-3.50;0.35;-0.29;-1233.00;-0.33;5.48
XX/06/21;05:14:13;DESCENT;AIR;AIR;AIR;4256;4274.00;1013.0;4018;2054;27.75;-31.484.222;-60.239.876;283;251;159;189.67;0.408;-1555;1.07;-0.01;-0.01;-17;-72.77;0;-3.2;52962;0;11.25;1.9;0.3;4.39;-3.50;35.0;35.8;76.0;74.5;561;573;IDLE;IDLE;16434.8;8255.15;8179.65;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.79;-3.41;0.35;-0.29;-1233.00;-0.33;5.48
XX/06/21;05:14:14;DESCENT;AIR;AIR;AIR;4234;4253.00;1013.0;3996;2054;27.75;-31.472.778;-60.240.639;282;251;159;189.67;0.408;-1487;1.07;-0.01;-0.01;-17;-180.0;0;-3.2;52962;0;11.25;2.3;0.4;4.39;-3.50;35.0;35.8;74.2;74.6;561;574;IDLE;IDLE;16435.5;8255.52;8180.03;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.65;0.35;-0.29;-1233.00;-0.33;5.58
XX/06/21;05:14:15;DESCENT;AIR;AIR;AIR;4214;4233.00;1013.0;3976;2054;27.75;-31.461.334;-60.241.325;282;251;159;189.67;0.408;-1412;1.08;-0.01;-0.01;-15;-72.77;0;-3.3;52962;0;11.25;2.6;0.4;4.39;-3.49;35.0;35.8;76.0;74.6;561;574;IDLE;IDLE;16436.3;8255.89;8180.42;1338.0;1386.7;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.95;0.41;-0.17;616.50;-0.33;5.67
