DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/03/19;07:21:28;FINAL APPROACH;AIR;AIR;AIR;4384;4384.00;1013.0;2328;2593;24.75;-22.925.472;-47.254.253;175;173;145;127.28;0.282;-1329;1.00;0.00;-0.08;139;125.51;13;0.2;43654;15;0.00;-0.5;0.1;3.17;0.00;73.8;74.3;531;570;-;-;2924.60;1461.87;1462.73;478.99;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:29;FINAL APPROACH;AIR;AIR;AIR;4364;4364.00;1013.0;2308;2585;24.75;-22.925.706;-47.253.513;174;172;145;127.28;0.281;-1287;1.01;-0.01;-0.08;139;123.40;13;0.3;43654;15;1.41;-0.4;0.1;3.34;0.00;73.6;74.1;531;570;-;-;2924.86;1462.00;1462.86;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:30;FINAL APPROACH;AIR;AIR;AIR;4344;4344.00;1013.0;2288;2553;25.00;-22.925.937;-47.252.728;173;172;145;127.28;0.280;-1258;0.99;-0.01;-0.08;139;121.64;13;0.4;43654;15;1.76;-0.4;0.0;3.34;0.00;73.6;74.3;531;570;-;-;2925.13;1462.13;1463.00;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:31;FINAL APPROACH;AIR;AIR;AIR;4328;4328.00;1013.0;2272;2518;25.00;-22.926.473;-47.252.052;173;172;145;127.28;0.280;-1199;1.01;0.00;-0.08;140;120.94;14;0.3;43654;15;2.11;-0.2;0.1;3.52;0.00;73.6;74.3;531;570;-;-;2925.39;1462.27;1463.13;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:32;FINAL APPROACH;AIR;AIR;AIR;4308;4308.00;1013.0;2252;2494;25.00;-22.927.009;-47.251.385;172;171;145;127.28;0.279;-1160;1.00;0.01;-0.08;140;120.94;14;0.2;43654;15;2.46;0.0;0.1;3.52;0.00;73.8;74.1;531;570;-;-;2925.66;1462.40;1463.26;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:33;FINAL APPROACH;AIR;AIR;AIR;4288;4288.00;1013.0;2232;2491;25.00;-22.927.652;-47.250.713;171;171;145;127.28;0.279;-1173;1.01;0.00;-0.08;140;121.29;14;0.2;43654;15;2.81;0.4;0.2;3.52;0.00;73.8;74.1;532;570;-;-;2925.92;1462.53;1463.39;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:33;FINAL APPROACH;AIR;AIR;AIR;4272;4272.00;1013.0;2216;2502;25.00;-22.928.299;-47.249.992;170;170;145;127.28;0.277;-1142;1.02;0.00;-0.07;141;121.29;15;0.3;43654;15;2.11;0.7;0.3;3.87;0.00;73.8;74.1;531;571;-;-;2926.19;1462.66;1463.52;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:34;FINAL APPROACH;AIR;AIR;AIR;4256;4256.00;1013.0;2200;2504;25.00;-22.928.468;-47.249.321;169;170;145;127.28;0.277;-1082;1.02;0.01;-0.07;141;121.29;15;0.2;43654;15;1.05;0.9;0.2;3.87;0.00;73.8;74.1;532;571;-;-;2926.45;1462.80;1463.66;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:35;FINAL APPROACH;AIR;AIR;AIR;4240;4240.00;1013.0;2184;2514;25.00;-22.928.636;-47.248.657;169;170;145;127.28;0.277;-1042;1.01;0.01;-0.07;141;121.64;15;0.3;43654;15;1.05;0.9;0.0;3.87;0.00;73.8;74.1;532;571;-;-;2926.72;1462.93;1463.79;482.62;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:36;FINAL APPROACH;AIR;AIR;AIR;4224;4224.00;1013.0;2168;2521;25.00;-22.929.111;-47.247.993;168;169;145;127.28;0.275;-1015;1.00;-0.00;-0.07;141;121.29;16;0.4;43654;15;1.05;0.9;0.0;3.52;0.00;73.8;74.3;531;571;-;-;2926.99;1463.06;1463.92;478.99;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:38;FINAL APPROACH;AIR;AIR;AIR;4208;4208.00;1013.0;2152;2523;25.00;-22.929.586;-47.247.261;167;168;145;127.28;0.274;-997;1.00;0.00;-0.07;141;120.94;16;0.5;43654;15;1.05;0.9;0.0;3.69;0.00;73.8;74.3;532;571;-;-;2927.25;1463.20;1464.05;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:39;FINAL APPROACH;AIR;AIR;AIR;4196;4196.00;1013.0;2140;2515;25.00;-22.930.057;-47.246.597;166;168;145;127.28;0.273;-945;1.02;0.01;-0.07;141;120.23;16;0.5;43654;15;1.05;1.1;0.1;4.04;0.00;73.8;74.3;531;571;-;-;2927.52;1463.33;1464.18;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:40;FINAL APPROACH;AIR;AIR;AIR;4180;4180.00;1013.0;2124;2492;25.00;-22.930.698;-47.245.926;165;168;145;127.28;0.273;-910;1.00;0.00;-0.07;141;119.88;17;0.5;43654;15;0.00;1.1;0.0;3.87;0.00;73.8;74.3;531;571;-;-;2927.78;1463.46;1464.32;478.99;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:41;FINAL APPROACH;AIR;AIR;AIR;4168;4168.00;1013.0;2112;2446;25.00;-22.930.934;-47.245.258;164;167;145;127.28;0.271;-887;0.98;0.01;-0.07;141;119.88;17;0.5;43654;15;-1.05;1.1;0.0;4.22;0.00;73.8;74.3;532;571;-;-;2928.05;1463.60;1464.45;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:42;FINAL APPROACH;AIR;AIR;AIR;4152;4152.00;1013.0;2096;2437;25.00;-22.931.173;-47.244.522;163;166;145;127.28;0.270;-872;1.00;0.01;-0.07;141;120.23;17;0.4;43654;15;-1.76;1.2;0.1;4.04;0.00;73.8;74.1;532;571;-;-;2928.31;1463.73;1464.58;478.99;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:43;FINAL APPROACH;AIR;AIR;AIR;4140;4140.00;1013.0;2084;2425;25.00;-22.931.709;-47.243.855;162;165;145;127.28;0.269;-861;1.01;0.00;-0.06;141;120.59;17;0.4;43654;15;-1.76;1.4;0.1;4.22;0.00;73.8;74.1;532;571;-;-;2928.58;1463.86;1464.72;482.62;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:44;FINAL APPROACH;AIR;AIR;AIR;4128;4128.00;1013.0;2072;2417;25.00;-22.932.247;-47.243.191;161;165;145;127.28;0.268;-815;0.99;0.00;-0.06;141;120.23;18;0.6;43654;15;-1.41;1.6;0.1;4.04;0.00;73.6;74.3;532;571;-;-;2928.85;1464.00;1464.85;478.99;478.99;13960.;-;0;WARNING;-;-
XX/03/19;07:21:45;FINAL APPROACH;AIR;AIR;AIR;4112;4112.00;1013.0;2056;2411;25.00;-22.932.779;-47.242.527;160;164;145;127.28;0.266;-823;1.00;-0.00;-0.06;141;119.53;18;0.7;43654;15;-1.05;1.8;0.1;4.57;0.00;73.8;74.1;532;571;-;-;2929.11;1464.13;1464.98;478.99;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:45;FINAL APPROACH;AIR;AIR;AIR;4100;4100.00;1013.0;2044;2405;25.00;-22.933.408;-47.241.783;160;163;145;127.28;0.265;-829;1.00;-0.00;-0.06;141;118.48;18;0.9;43654;15;0.00;1.9;0.1;4.75;0.00;73.6;74.3;532;572;-;-;2929.38;1464.26;1465.12;482.62;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:46;FINAL APPROACH;AIR;AIR;AIR;4088;4088.00;1013.0;2032;2405;25.00;-22.933.647;-47.241.116;158;162;145;127.28;0.264;-793;1.00;-0.00;-0.06;141;117.77;18;1.0;43654;15;1.05;2.1;0.1;4.75;0.00;73.6;74.3;532;572;-;-;2929.65;1464.40;1465.25;478.99;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:47;FINAL APPROACH;AIR;AIR;AIR;4076;4076.00;1013.0;2020;2405;25.00;-22.933.885;-47.240.452;158;161;145;127.28;0.262;-769;1.01;-0.00;-0.05;141;116.72;18;1.1;43654;15;2.11;2.1;0.0;4.92;0.00;73.8;74.1;533;572;-;-;2929.91;1464.53;1465.38;486.25;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:48;FINAL APPROACH;AIR;AIR;AIR;4064;4064.00;1013.0;2008;2407;25.00;-22.934.425;-47.239.788;156;160;145;127.28;0.260;-753;1.00;-0.00;-0.05;141;115.66;18;1.2;43654;15;2.46;2.3;0.1;5.10;0.00;73.8;74.1;533;572;-;-;2930.18;1464.67;1465.52;482.62;482.62;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:49;FINAL APPROACH;AIR;AIR;AIR;4052;4052.00;1013.0;1996;2408;25.00;-22.934.965;-47.239.346;156;159;145;127.28;0.259;-742;1.01;-0.00;-0.05;141;114.96;18;1.2;43654;15;1.76;2.5;0.1;5.28;-0.07;73.8;74.3;532;572;-;-;2930.45;1464.80;1465.65;482.62;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:50;FINAL APPROACH;AIR;AIR;AIR;4044;4044.00;1013.0;1988;2412;25.00;-22.935.504;-47.238.682;154;159;145;127.28;0.258;-695;1.00;0.00;-0.05;142;115.31;18;1.0;43654;15;0.70;2.5;0.0;5.28;-0.07;73.8;74.3;532;572;-;-;2930.72;1464.93;1465.78;482.62;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:51;FINAL APPROACH;AIR;AIR;AIR;4032;4032.00;1013.0;1976;2418;25.00;-22.936.122;-47.238.022;154;158;145;127.28;0.256;-664;1.00;0.01;-0.04;142;116.02;18;0.7;43654;15;-0.70;2.6;0.1;5.63;-0.06;73.8;74.3;533;572;-;-;2930.98;1465.07;1465.91;486.25;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:52;FINAL APPROACH;AIR;AIR;AIR;4020;4020.00;1013.0;1964;2401;25.00;-22.936.365;-47.237.366;153;157;145;127.28;0.254;-682;1.00;0.01;-0.04;142;117.42;18;0.6;43654;15;-1.41;2.8;0.1;5.63;-0.05;73.8;74.3;532;572;-;-;2931.25;1465.20;1466.05;482.62;482.62;13960.;EXTENDED;0;WARNING;-;-
